;:category;:sales;:date;:unit;:name;:ean;:profit;:category-id;:vat;:weight;:id;:qty
15;czekolady;10.53;2018-11-10;szt;CZEKOLADA MILKA ALPINE MILK 270 g;7622210703538;3.37;121106;23;0.270;002886;1.000
16;Śmietany;8.54;2018-11-10;szt;ŚMIETANA ZOTT 30% 200 g;5906040063225;1.49;060805;5;0.200;002941;3.000
17;Marynaty rybne Waga;15.57;2018-11-10;kg;PŁATY ŚLEDZIOWE A'LA BISMARCK LUZ;2902164000000;3.28;040201;5;1.000;003157;0.976
18;Wędzonki waga;6.33;2018-11-10;kg;SZYNKA W KOTLE WARZONA OLEWNIK;2902167000000;0.73;040408;5;1.000;003228;0.202
19;Wędzonki waga;16.86;2018-11-10;kg;KURCZAK GOTOWANY WĘDZONY TARCZYŃSKI;2902214000000;1.95;040408;5;2.500;003258;0.658
20;Gumy do żucia;1.75;2018-11-10;szt;GUMA MENTOS PURE FRESH LIME MINT 15,5 g;80975090;0.51;121107;8;0.016;003509;1.000
21;Marynaty rybne Waga;7.58;2018-11-10;kg;FILETY ŚLEDZIOWE W SOSIE ŚMIETANOWYM LUZ;2900777000000;-0.94;040201;5;3.000;003570;0.730
22;Napoje gazowane inne;1.94;2018-11-10;szt;NAPÓJ 3 LIMONKI GAZ ZBYSZKO 1,5l;5906441340871;0.22;070301;23;1.500;003597;1.000
23;Napoje gazowane inne;3.89;2018-11-10;szt;NAPÓJ 3 POMAR GAZ ZBYSZKO 1,5l;5906441340864;0.45;070301;23;1.500;003611;2.000
24;Piwo w butelce;16.54;2018-11-10;szt;PIWO LECH FREE ALASKA 500ml BUT.ZWR.;5901359074245;4.66;010301;23;0.500;004079;6.000
25;Warzywa kapustne [z];3.80;2018-11-10;szt;KAPUSTA COOLWRAP szt.;2425000000000;0.19;090702;5;1.000;004415;1.000
26;Sery żółte Waga;10.27;2018-11-10;kg;SER CEZAR PREMIUM SM RYKI LUZ;2902445000000;2.58;040303;5;1.000;005116;0.432
27;Akcesoria gospodarstwa domowego;2.56;2018-11-10;szt;WORKI NA ŚMIECI 35L AMIGO 15SZT;5904771003251;0.78;110201;23;1.000;005282;1.000
28;Dodatki do ciast;7.44;2018-11-10;szt;WAFLE TORTOWE KWADRATOWE EURO 160 g;5903111175115;2.34;120903;23;0.160;005370;3.000
29;Śmietany;2.18;2018-11-10;szt;ŚMIETANA 12% 180g ZOTT;5906040063294;1.01;060805;5;0.180;005443;1.000
30;Owoce Pakowane;3.30;2018-11-10;szt;POMARAŃCZA SIATKA (KAL.1-2) 3szt.;2426600000000;0.06;090401;8;1.000;005547;1.000
31;mąka;2.31;2018-11-10;szt;SKROBIA ZIEMNIACZANA NIECHLÓW 500 g;5900596000017;0.37;121004;8;0.500;005958;1.000
32;Likiery i inne alkohole;8.61;2018-11-10;szt;NAPÓJ SP.KRUPNIK SŁONY KARMEL 16% 200ml;5900595009165;1.82;010403;23;0.200;007002;1.000
33;Wędzonki waga;8.38;2018-11-10;kg;SZYNKA NIE ZE WSI;2902336000000;0.28;040408;5;1.000;007345;0.402
34;Pieczywo mrożone - Ciasta;11.28;2018-11-10;szt;BUŁKI MLECZNE 10SZT DAKRI;5901688805527;2.28;100206;8;1.000;007435;2.000
35;Napoje gazowane inne;2.02;2018-11-10;szt;LEMONIADA CHILLEMON WIŚNIA CZEREŚN.330ml;5902241704295;0.55;070301;23;0.330;007603;1.000
36;Przekąski;4.66;2018-11-10;szt;CHRUPKI CHEETOS PIZZERINI 155 g;5900259092694;1.19;120101;5;0.155;007640;1.000
37;Wina spokojne;19.39;2018-11-10;szt;WINO CARLO ROSSI REFRES.POMEGR.10% 750ml;0085000027219;3.90;010107;23;0.750;008021;1.000
38;Wina spokojne;38.78;2018-11-10;szt;WINO CARLO ROSSI REF.MIX.BERRY 10% 750ml;0085000027226;7.80;010107;23;0.750;008022;2.000
39;Warzywa sałatkowe [z];1.99;2018-11-10;kg;OGÓREK KRÓTKI POLSKI kg;5908235951737;0.50;090704;5;1.000;008031;0.332
40;Warzywa okopowe [z];3.86;2018-11-10;kg;CEBULA ŻÓŁTA kg;5908235950563;1.56;090703;5;1.000;008058;1.320
41;Warzywa okopowe [z];2.47;2018-11-10;kg;CEBULA BIAŁA kg;5908235950488;0.79;090703;5;1.000;008101;0.472
42;Cytrusy [z];15.75;2018-11-10;kg;CYTRYNA kg;5908235950716;9.15;090502;8;1.000;008437;1.612
43;Dania mączne pakowane;6.90;2018-11-10;szt;PIZZA CZTERY SERY PAPA LUIGI 400 g;5901885565545;1.45;060601;5;0.400;008486;1.000
44;Kiełbasy cienkie waga;17.22;2018-11-10;kg;KIEŁBASA PODLASKA DOBROWOLSCY;2902432000000;1.98;040403;5;1.000;008489;1.010
45;Cukierki pakowane;3.24;2018-11-10;szt;ŻELKI WAWEL JAK SMOK Z PIANKĄ 100 g;5900102022595;1.69;121105;23;0.100;008515;1.000
46;Piwo w puszce;4.23;2018-11-10;szt;NAPÓJ PIWNY SOMERSBY WATERMELON 500ml PUSZ;5900014004863;1.96;010302;23;0.500;008615;1.000
